,model,class,precision,recall,f1,support
0,convnext_tiny_baseline_seed1024,cardboard,0.35,0.7,0.4667,80
1,convnext_tiny_baseline_seed1024,glass,0.9697,0.4,0.5664,80
2,convnext_tiny_baseline_seed1024,metal,0.8571,0.3,0.4444,80
3,convnext_tiny_baseline_seed1024,paper,0.3056,0.55,0.3929,80
4,convnext_tiny_baseline_seed1024,plastic,0.4216,0.5375,0.4725,80
5,convnext_tiny_baseline_seed1024,trash,0.7273,0.1026,0.1798,78
6,convnext_tiny_baseline_seed128,cardboard,0.4757,0.6125,0.5355,80
7,convnext_tiny_baseline_seed128,glass,0.9512,0.4875,0.6446,80
8,convnext_tiny_baseline_seed128,metal,0.5897,0.575,0.5823,80
9,convnext_tiny_baseline_seed128,paper,0.3382,0.575,0.4259,80
10,convnext_tiny_baseline_seed128,plastic,0.4857,0.6375,0.5514,80
11,convnext_tiny_baseline_seed128,trash,0.8667,0.1667,0.2796,78
12,convnext_tiny_baseline_seed256,cardboard,0.3465,0.875,0.4965,80
13,convnext_tiny_baseline_seed256,glass,0.9091,0.375,0.531,80
14,convnext_tiny_baseline_seed256,metal,0.7222,0.4875,0.5821,80
15,convnext_tiny_baseline_seed256,paper,0.2927,0.45,0.3547,80
16,convnext_tiny_baseline_seed256,plastic,0.5246,0.4,0.4539,80
17,convnext_tiny_baseline_seed256,trash,0.4,0.0256,0.0482,78
18,convnext_tiny_baseline_seed512,cardboard,0.4296,0.725,0.5395,80
19,convnext_tiny_baseline_seed512,glass,0.8889,0.5,0.64,80
20,convnext_tiny_baseline_seed512,metal,0.8519,0.2875,0.4299,80
21,convnext_tiny_baseline_seed512,paper,0.3308,0.5375,0.4095,80
22,convnext_tiny_baseline_seed512,plastic,0.4587,0.625,0.5291,80
23,convnext_tiny_baseline_seed512,trash,0.5938,0.2436,0.3455,78
24,convnext_tiny_baseline_seed64,cardboard,0.3942,0.675,0.4977,80
25,convnext_tiny_baseline_seed64,glass,0.9189,0.425,0.5812,80
26,convnext_tiny_baseline_seed64,metal,0.4393,0.5875,0.5027,80
27,convnext_tiny_baseline_seed64,paper,0.3504,0.5125,0.4162,80
28,convnext_tiny_baseline_seed64,plastic,0.4828,0.35,0.4058,80
29,convnext_tiny_baseline_seed64,trash,0.7273,0.2051,0.32,78
30,convnext_tiny_geo_seed1024,cardboard,0.3611,0.65,0.4643,80
31,convnext_tiny_geo_seed1024,glass,0.9474,0.225,0.3636,80
32,convnext_tiny_geo_seed1024,metal,0.4375,0.525,0.4773,80
33,convnext_tiny_geo_seed1024,paper,0.4225,0.375,0.3974,80
34,convnext_tiny_geo_seed1024,plastic,0.3696,0.6375,0.4679,80
