,model,source_acc,source_macro_precision,source_macro_recall,source_macro_f1,target_acc,target_macro_precision,target_macro_recall,target_macro_f1,source_n,target_n,macro_f1_drop
0,convnext_tiny_baseline_seed1024,0.9494,0.9496,0.9406,0.9433,0.4331,0.6052,0.4317,0.4204,257,478,0.5229
1,convnext_tiny_baseline_seed128,0.9377,0.9237,0.9134,0.9175,0.5105,0.6179,0.509,0.5032,257,478,0.4143
2,convnext_tiny_baseline_seed256,0.9416,0.9176,0.9172,0.9167,0.4372,0.5325,0.4355,0.411,257,478,0.5057
3,convnext_tiny_baseline_seed512,0.9416,0.9439,0.9326,0.9366,0.4874,0.5923,0.4864,0.4823,257,478,0.4543
4,convnext_tiny_baseline_seed64,0.9416,0.918,0.9431,0.9262,0.4603,0.5521,0.4592,0.4539,257,478,0.4723
5,convnext_tiny_geo_seed1024,0.9339,0.919,0.9332,0.9226,0.4184,0.5397,0.417,0.3883,257,478,0.5343
6,convnext_tiny_geo_seed128,0.9455,0.9485,0.9286,0.9368,0.4289,0.5305,0.428,0.4201,257,478,0.5167
7,convnext_tiny_geo_seed256,0.9377,0.9311,0.9143,0.9201,0.4812,0.5529,0.4796,0.4571,257,478,0.463
8,convnext_tiny_geo_seed512,0.9377,0.9395,0.8992,0.9128,0.4184,0.5564,0.4171,0.4025,257,478,0.5103
9,convnext_tiny_geo_seed64,0.9377,0.9388,0.9155,0.9244,0.431,0.5812,0.43,0.4261,257,478,0.4983
10,convnext_tiny_mixed_seed1024,0.9144,0.8963,0.8884,0.8912,0.4958,0.5742,0.4942,0.4795,257,478,0.4117
11,convnext_tiny_mixed_seed128,0.9261,0.9268,0.9217,0.9222,0.477,0.585,0.4757,0.4511,257,478,0.4711
12,convnext_tiny_mixed_seed256,0.9222,0.9129,0.9047,0.9075,0.4833,0.5431,0.4818,0.4726,257,478,0.4349
13,convnext_tiny_mixed_seed512,0.9416,0.9328,0.9315,0.9301,0.5251,0.6092,0.5243,0.5262,257,478,0.4039
14,convnext_tiny_mixed_seed64,0.9455,0.9557,0.9207,0.9341,0.5042,0.6285,0.5027,0.4993,257,478,0.4348
15,convnext_tiny_photo_seed1024,0.93,0.9196,0.9241,0.9209,0.5377,0.6088,0.5374,0.5452,257,478,0.3757
16,convnext_tiny_photo_seed128,0.93,0.9402,0.9073,0.9198,0.4728,0.5414,0.4716,0.4712,257,478,0.4486
17,convnext_tiny_photo_seed256,0.93,0.9162,0.9226,0.9185,0.4812,0.6205,0.4796,0.4669,257,478,0.4516
18,convnext_tiny_photo_seed512,0.9455,0.9277,0.9367,0.9315,0.5105,0.5614,0.5093,0.5071,257,478,0.4244
19,convnext_tiny_photo_seed64,0.9494,0.9413,0.9332,0.9365,0.4498,0.559,0.4485,0.4416,257,478,0.4949
