,model,subgroup,accuracy,macro_precision,macro_recall,macro_f1,n,note
0,convnext_tiny_baseline_seed1024,background_floor,0.45,0.6198,0.45,0.4411,120,
1,convnext_tiny_baseline_seed1024,background_tree,0.3417,0.4634,0.3417,0.3026,120,
2,convnext_tiny_baseline_seed1024,background_wall,0.3814,0.5204,0.3759,0.3694,118,
3,convnext_tiny_baseline_seed1024,background_white,0.5583,0.7542,0.5583,0.5377,120,
4,convnext_tiny_baseline_seed1024,lighting_1,0.5397,0.6398,0.5382,0.5335,239,
5,convnext_tiny_baseline_seed1024,lighting_2,0.3264,0.6329,0.3251,0.2728,239,
6,convnext_tiny_baseline_seed1024,view_1,0.4667,0.6148,0.4667,0.4543,240,
7,convnext_tiny_baseline_seed1024,view_2,0.3992,0.5925,0.3963,0.3837,238,
8,convnext_tiny_baseline_seed128,background_floor,0.5167,0.6696,0.5167,0.5141,120,
9,convnext_tiny_baseline_seed128,background_tree,0.4083,0.5246,0.4083,0.3338,120,
10,convnext_tiny_baseline_seed128,background_wall,0.5,0.5238,0.4917,0.471,118,
11,convnext_tiny_baseline_seed128,background_white,0.6167,0.7374,0.6167,0.6126,120,
12,convnext_tiny_baseline_seed128,lighting_1,0.5774,0.6463,0.576,0.5748,239,
13,convnext_tiny_baseline_seed128,lighting_2,0.4435,0.617,0.4421,0.4163,239,
14,convnext_tiny_baseline_seed128,view_1,0.5458,0.6282,0.5458,0.5343,240,
15,convnext_tiny_baseline_seed128,view_2,0.4748,0.628,0.4719,0.4702,238,
16,convnext_tiny_baseline_seed256,background_floor,0.325,0.5775,0.325,0.2828,120,
17,convnext_tiny_baseline_seed256,background_tree,0.425,0.4093,0.425,0.3944,120,
18,convnext_tiny_baseline_seed256,background_wall,0.5085,0.543,0.5,0.4769,118,
19,convnext_tiny_baseline_seed256,background_white,0.4917,0.7275,0.4917,0.4608,120,
20,convnext_tiny_baseline_seed256,lighting_1,0.5314,0.574,0.5294,0.5058,239,
21,convnext_tiny_baseline_seed256,lighting_2,0.3431,0.3926,0.3417,0.2911,239,
22,convnext_tiny_baseline_seed256,view_1,0.45,0.5506,0.45,0.4292,240,
23,convnext_tiny_baseline_seed256,view_2,0.4244,0.4525,0.4208,0.3925,238,
24,convnext_tiny_baseline_seed512,background_floor,0.55,0.7647,0.55,0.5285,120,
25,convnext_tiny_baseline_seed512,background_tree,0.3917,0.5355,0.3917,0.3741,120,
26,convnext_tiny_baseline_seed512,background_wall,0.4746,0.5515,0.4713,0.4537,118,
27,convnext_tiny_baseline_seed512,background_white,0.5333,0.6758,0.5333,0.521,120,
28,convnext_tiny_baseline_seed512,lighting_1,0.5272,0.6158,0.5263,0.5326,239,
29,convnext_tiny_baseline_seed512,lighting_2,0.4477,0.5795,0.4466,0.4236,239,
30,convnext_tiny_baseline_seed512,view_1,0.5292,0.5988,0.5292,0.5273,240,
31,convnext_tiny_baseline_seed512,view_2,0.4454,0.5964,0.4428,0.4297,238,
32,convnext_tiny_baseline_seed64,background_floor,0.4417,0.6909,0.4417,0.412,120,
33,convnext_tiny_baseline_seed64,background_tree,0.3583,0.407,0.3583,0.3126,120,
34,convnext_tiny_baseline_seed64,background_wall,0.4322,0.3991,0.425,0.3967,118,
35,convnext_tiny_baseline_seed64,background_white,0.6083,0.7306,0.6083,0.5976,120,
36,convnext_tiny_baseline_seed64,lighting_1,0.5021,0.5714,0.5007,0.4909,239,
37,convnext_tiny_baseline_seed64,lighting_2,0.4184,0.532,0.4176,0.4085,239,
