,,,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1,n,n
,,,mean,std,mean,std,mean,std,mean,std,mean,std
architecture,augmentation,subgroup,,,,,,,,,,
ConvNeXt,baseline,background_floor,0.4567,0.0865,0.6645,0.0713,0.4567,0.0865,0.4357,0.0984,120.0,0.0
ConvNeXt,baseline,background_tree,0.385,0.0346,0.468,0.0611,0.385,0.0346,0.3435,0.0395,120.0,0.0
ConvNeXt,baseline,background_wall,0.4593,0.0527,0.5076,0.062,0.4528,0.0519,0.4335,0.0479,118.0,0.0
ConvNeXt,baseline,background_white,0.5617,0.0522,0.7251,0.0294,0.5617,0.0522,0.5459,0.0613,120.0,0.0
ConvNeXt,baseline,lighting_1,0.5356,0.0273,0.6095,0.0354,0.5341,0.0273,0.5275,0.0321,239.0,0.0
ConvNeXt,baseline,lighting_2,0.3958,0.0572,0.5508,0.0966,0.3946,0.0573,0.3625,0.074,239.0,0.0
ConvNeXt,baseline,view_1,0.4958,0.0407,0.59,0.0345,0.4958,0.0407,0.4846,0.0456,240.0,0.0
ConvNeXt,baseline,view_2,0.4353,0.0278,0.5661,0.0678,0.4325,0.0279,0.4214,0.0346,238.0,0.0
ConvNeXt,geo,background_floor,0.4667,0.0373,0.6471,0.022,0.4667,0.0373,0.4533,0.054,120.0,0.0
ConvNeXt,geo,background_tree,0.2967,0.0491,0.2708,0.0703,0.2967,0.0491,0.2488,0.0581,120.0,0.0
ConvNeXt,geo,background_wall,0.439,0.0466,0.5071,0.0936,0.433,0.0467,0.4116,0.0598,118.0,0.0
ConvNeXt,geo,background_white,0.54,0.0297,0.7015,0.0194,0.54,0.0297,0.5203,0.0263,120.0,0.0
ConvNeXt,geo,lighting_1,0.4962,0.0198,0.596,0.0217,0.4948,0.0196,0.4839,0.0152,239.0,0.0
ConvNeXt,geo,lighting_2,0.3749,0.0426,0.4586,0.1241,0.3739,0.0426,0.3402,0.0547,239.0,0.0
ConvNeXt,geo,view_1,0.4575,0.0233,0.5745,0.0111,0.4575,0.0233,0.4413,0.0246,240.0,0.0
ConvNeXt,geo,view_2,0.4135,0.0323,0.5378,0.0314,0.411,0.032,0.3955,0.0335,238.0,0.0
ConvNeXt,mixed,background_floor,0.5033,0.0389,0.6649,0.0825,0.5033,0.0389,0.4874,0.0654,120.0,0.0
ConvNeXt,mixed,background_tree,0.3433,0.0216,0.3977,0.0618,0.3433,0.0216,0.292,0.0218,120.0,0.0
ConvNeXt,mixed,background_wall,0.4881,0.0272,0.5259,0.059,0.482,0.0298,0.4577,0.038,118.0,0.0
ConvNeXt,mixed,background_white,0.6533,0.0519,0.7362,0.0581,0.6533,0.0519,0.6342,0.0541,120.0,0.0
ConvNeXt,mixed,lighting_1,0.5464,0.0407,0.6098,0.0482,0.5452,0.0408,0.5416,0.0449,239.0,0.0
ConvNeXt,mixed,lighting_2,0.4477,0.051,0.5742,0.0616,0.4464,0.0509,0.422,0.0699,239.0,0.0
ConvNeXt,mixed,view_1,0.5058,0.0251,0.5907,0.0397,0.5058,0.0251,0.494,0.0287,240.0,0.0
ConvNeXt,mixed,view_2,0.4882,0.0209,0.5967,0.0467,0.4856,0.0209,0.4762,0.0321,238.0,0.0
